timestamp;rawx;rawy;filteredx;filteredy;currentLineNumber
2021-02-22-10-20-38-636;1303;481;1304.34;484.176;9
2021-02-22-10-20-38-653;1303;481;1304.33;482.101;9
2021-02-22-10-20-38-670;1303;481;1304.31;480.201;8
2021-02-22-10-20-38-686;1303;481;1304.29;478.468;8
2021-02-22-10-20-38-703;1303;481;1304.27;476.894;8
2021-02-22-10-20-38-720;1303;481;1304.24;475.472;8
2021-02-22-10-20-38-736;1303;481;1304.21;474.193;8
2021-02-22-10-20-38-753;1303;481;1304.17;473.051;8
2021-02-22-10-20-38-770;1303;481;1304.13;472.038;8
2021-02-22-10-20-38-786;1303;481;1304.1;471.147;8
